gene_id	PBMC-NK-1	PBMC-NK-2	PBMC-gdT-1	PBMC-gdT-2	SRR13381427	SRR13381428	SRR13381429	SRR13381430	SRR13381431	SRR13381432	SRR13381435	SRR13381436	SRR13381438	Number5	Number6	Number9	Number13	Number16	Number17	Number20
ENSG00000258453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176294	3	5	5	19	0	0	0	0	0	0	0	0	0	8	7	14	6	3	10	16
ENSG00000258438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	2	2	0
ENSG00000176312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176290	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165762	9	5	22	34	0	0	0	0	0	0	0	0	0	12	10	28	18	5	12	20
ENSG00000258541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000155249	0	1	0	1	0	0	0	0	0	0	0	0	0	1	2	3	0	2	2	0
ENSG00000258822	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169488	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000196383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0
ENSG00000169484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	0	0	0
ENSG00000176253	1	1	7	8	0	0	0	0	0	0	0	0	0	8	8	17	8	8	0	11
ENSG00000258899	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176230	5	4	8	17	0	0	0	0	0	0	0	0	0	9	24	36	31	15	26	40
ENSG00000184394	4	1	1	6	0	0	0	0	0	0	0	0	0	1	2	0	3	0	0	0
ENSG00000259074	2	0	0	0	0	0	0	0	0	0	0	0	0	3	1	8	2	0	2	3
ENSG00000259095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196832	1	2	4	8	0	0	0	0	0	0	0	0	0	7	11	17	4	2	9	12
ENSG00000258625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000176219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258806	0	0	1	3	0	1	1	1	1	2	1	0	0	3	1	1	3	0	0	0
ENSG00000176198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	3
ENSG00000136319	435	303	616	769	392	342	331	357	287	276	202	226	276	403	382	392	488	499	419	407
ENSG00000258768	8	12	36	53	54	47	56	77	39	32	13	33	9	16	13	25	29	21	10	31
ENSG00000258459	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100814	713	495	752	980	565	538	499	535	670	623	696	834	838	420	381	339	689	827	571	372
ENSG00000287735	5	12	25	13	4	10	6	20	13	9	9	16	15	7	6	9	3	13	0	4
ENSG00000222489	2	8	3	0	1	5	9	3	2	3	5	9	6	0	5	1	2	3	1	7
ENSG00000238344	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000259001	3	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
ENSG00000277209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129484	835	578	986	786	528	376	245	355	310	352	806	751	587	517	523	278	643	725	536	438
ENSG00000254846	0	1	0	0	3	1	0	0	0	0	0	0	0	0	0	1	1	2	0	5
ENSG00000129566	1565	1256	2323	4072	3157	3683	3584	4430	2963	2862	2835	2535	3515	975	907	1550	2556	1585	991	1969
ENSG00000200225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000185271	18	18	25	20	1	3	4	4	10	10	77	38	124	15	16	24	25	14	4	3
ENSG00000259162	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0
ENSG00000092094	924	694	1180	1222	750	816	772	995	846	729	915	944	1109	590	639	474	736	807	523	526
ENSG00000258515	46	27	71	44	0	19	17	22	15	12	13	16	26	26	15	41	38	27	14	35
ENSG00000100823	1888	1301	2216	2865	1466	1015	1293	1298	1285	1093	2320	2845	2833	941	1081	1091	1204	1379	1459	842
ENSG00000165782	580	496	904	992	985	946	997	1078	787	815	871	882	960	444	453	368	562	694	471	552
ENSG00000198805	2214	1457	3359	2636	1283	1926	1882	1493	1772	1172	1638	2463	2010	1456	1849	1074	2131	2131	1536	1409
ENSG00000258908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000182545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258863	2	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
ENSG00000188655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000173464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181803	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	1	1	1	0	12
ENSG00000199461	1	1	1	4	0	0	0	0	0	0	0	0	0	4	6	6	4	9	0	8
ENSG00000214274	18	24	93	36	16	20	7	5	5	7	6	10	7	4	5	4	18	33	10	27
ENSG00000258818	1	0	7	0	0	0	0	0	0	1	0	1	1	1	2	0	0	3	8	6
ENSG00000259171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258451	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	4
ENSG00000259144	1	5	2	1	2	3	4	4	10	0	1	2	3	0	1	1	3	0	7	0
ENSG00000258963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000181552	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169413	51	53	108	91	41	40	23	10	53	50	20	40	34	47	27	33	12	25	6	46
ENSG00000258810	0	1	2	5	0	1	1	0	0	3	2	1	0	2	0	1	1	4	2	0
ENSG00000129538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259130	1	1	6	4	0	0	0	0	0	0	0	0	0	6	13	19	5	3	9	12
ENSG00000258642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000136315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000169385	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000243817	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258599	1	0	0	0	0	0	0	0	0	2	2	0	0	0	1	1	0	0	0	0
ENSG00000165792	1201	769	1382	2071	1279	1040	1054	1387	992	969	946	1075	1225	777	748	663	910	920	700	1028
ENSG00000258471	7	4	8	15	3	6	0	2	0	0	1	2	4	5	4	3	3	12	18	2
ENSG00000165794	2	1	0	1	0	0	0	0	2	2	0	0	3	0	4	4	1	0	0	0
ENSG00000165795	11	19	21	36	62	37	43	67	66	21	148	62	135	41	14	38	80	45	60	61
ENSG00000284122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000179636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
ENSG00000258604	4	1	3	6	0	0	0	0	0	0	0	0	0	0	4	6	3	0	8	5
ENSG00000255472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000206150	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000165799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000173431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000165801	10	7	11	32	0	2	1	2	0	3	3	5	2	26	25	49	33	8	22	28
ENSG00000165804	37	58	68	48	96	149	73	81	148	108	123	158	115	33	20	11	56	54	45	77
ENSG00000232070	0	0	0	0	0	1	3	3	0	2	0	0	2	0	0	0	2	0	0	0
ENSG00000178107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0
ENSG00000258722	0	2	0	0	0	0	0	0	0	2	1	0	0	1	7	1	1	0	3	0
ENSG00000200102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000169327	4	1	6	1	0	0	0	0	0	0	0	0	0	5	5	6	6	2	3	12
ENSG00000259102	0	0	1	1	2	0	1	0	3	0	0	1	0	0	0	0	0	1	0	0
ENSG00000258906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000258441	239	169	407	588	300	354	452	624	344	331	248	266	314	212	221	254	227	227	149	196
ENSG00000092199	5974	3905	7690	6309	4723	3468	3419	3676	3859	3488	5999	7654	6227	5752	5152	2799	4150	6911	6274	3128
ENSG00000092200	5	3	14	15	2	1	3	8	3	3	3	10	5	8	10	13	7	8	8	6
ENSG00000092201	6754	4144	6931	6028	3922	2859	2949	2972	3033	2966	5781	6512	5673	5438	5246	2701	4552	7438	6307	3662
ENSG00000260830	12	5	12	11	4	2	1	0	1	1	2	8	2	2	5	0	5	10	7	0
ENSG00000100888	4596	3046	5641	6780	5313	4842	4782	5863	4021	4125	4813	4579	5017	3596	3557	3241	4230	4444	3736	4700
ENSG00000199436	5	1	0	7	0	4	3	7	4	3	1	6	6	0	3	5	1	0	1	3
ENSG00000200785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000258870	0	0	0	2	0	1	1	1	0	0	1	0	0	2	0	0	0	0	9	0
ENSG00000274475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129472	645	507	832	882	515	546	657	685	509	546	482	455	522	634	632	551	556	477	529	600
ENSG00000092203	1944	1254	2594	3000	1856	1701	1609	1853	1551	1483	1714	1652	1874	1626	1412	1240	1753	2156	1508	1748
ENSG00000165819	1437	988	1380	2051	1981	1681	1832	2109	1756	1594	1535	1678	1770	863	853	875	973	1072	699	1051
ENSG00000165821	16	19	11	64	20	45	26	50	38	46	155	102	153	13	14	18	27	17	7	9
ENSG00000257096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256737	0	0	0	1	4	0	3	1	0	0	0	0	2	0	0	0	0	0	0	8
ENSG00000169208	3	2	3	5	0	0	0	0	0	0	0	0	1	5	3	12	6	0	13	7
ENSG00000256081	18	23	18	18	1	2	4	0	2	1	4	8	5	22	16	12	15	39	37	15
ENSG00000273586	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0
ENSG00000256385	3	0	0	4	2	6	1	4	3	3	5	2	2	0	0	0	1	0	0	0
ENSG00000255569	0	0	0	0	0	0	0	0	0	0	101	140	251	0	0	0	0	0	0	0
ENSG00000255582	0	0	0	0	0	0	0	0	0	0	21	35	81	0	0	0	0	0	0	0
ENSG00000256553	0	0	0	0	7	1	2	0	0	1	719	1036	400	0	0	0	0	0	0	0
ENSG00000255664	0	0	0	2	0	0	0	0	0	0	1	0	0	2	6	3	1	0	0	2
ENSG00000221977	5	1	5	35	0	0	0	0	0	0	0	0	0	8	7	25	20	11	13	16
ENSG00000276240	1	1	2	8	0	0	0	0	0	0	20	2	6	3	2	8	1	0	1	5
ENSG00000256350	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0
ENSG00000211776	0	0	0	0	0	0	0	0	0	1	198	174	186	0	0	0	0	0	0	0
ENSG00000248358	0	0	0	0	0	0	0	1	0	0	20	9	18	0	0	0	1	0	0	0
